Прямой обмен товарами без денежных расчётов?; бартер
Птица со стремительным полётом; стриж
Птица, чьё уханье кажется зловещим в ночном лесу; филин
Пулемёт; Максим
Пушистая вата плывёт куда-то... Чем вата ниже, тем дождик ближе; облако
Разновидность языка, употребляемая в определённом регионе или социальном слое?; диалект
Растворение поглощённого на поверхности вещества во всём объёме поглотителя?; абсорбция
Растительная краска для волос, в паре с хной дающая чёрный тон?; басма
Ребёнок; малыш
Рис, рожь, овёс; злак
Рогатый символ упёртости; буйвол
Русское название зажиточного сельского хозяина, имеющего наёмных работников?; кулак
Ручной гранатомёт?; базука
Самое драгоценное письмо было послано в 1845 году из американской Александрии в Ричмонд. В чём заключается ценность письма?; марка
Свёкор – тестю; сват
Своеобразным тёзкой русской диссидентки, больше известной в качестве заглавной героини художественного произведения, является приморский город, название которого вам предстоит сообщить; Феодосия
Семья пчёл; рой
Сильный атмосферный вихрь в виде тёмного столба, опускающегося из грозового облака; тромб
Словцо, которым царь обозвал зубного врача, на что тот ответил: “От ... слышу!” (к-ф “Иван Васильевич меняет профессию”); смерд
Смягчение наказания, освобождение осуждённых от наказания; амнистия
Согласно арабской пословице: конь бедняка – осёл, а что бедняку корова?; коза
Спектакль или концерт в честь кого-либо из актёров?; бенефис
Сполох; вспышка далёкой молнии, освещающая небо на горизонте?; зарница
Способ исполнения певцом или музыкантом, связанный с приёмами ведения смычка, удара по клавише, использования голоса (легато, стаккато и др.); артикуляция
Старый друг лучше новых ... – те, ради кого переделал пословицу острослов, но не “два” (ответ в им. п.); шлюхи
Судно, состоящее из двух соединённых палубой корпусов или имеющее двухкилевые обводы корпуса?; катамаран
Суперлётчик; ас
Сухопутный спортивный парусник на коньках, лыжах, колёсах?; буер
Сэй-Сёнагон однажды заметила, что и нитка для спешного шитья, и волосы простой служанки, и речь молодой девушки, и кое-что еще должны быть... Какими?; короткими
Танец с чётным числом пар?; кадриль
Твёрдая или студнеобразная, но способная сохранять свою форму масса, состоящая из воды или др. жидкости?; гель
Твердая или смолянистая смесь тяжёлых углеводородов и их производных, природная или из остатков нефтепереработки?; битум
Тип ролей актёра, отвечающий его сценическим данным?; амплуа
Тот, который приходя к вам, заявляет: “Я – представитель страховой компании!”; агент
Транспортное средство (машина, самолёт), способное передвигаться и по воде; амфибия
У африканской народности Малинке есть пословица: “Если друзья не говорят вам ... , заплатите за неё вашим врагам”.; правду
Угол бокового наклона корпуса самолёта или судна?; крен
Управляемый конденсатор переменной ёмкости на полупроводниковом переходе, ёмкость которого зависит от приложенного напряжения?; варикап
Упругая плетёная сетка для прыжков?; батут
Философия, считающая физические лишения и крайнее ограничение телесных нужд путём к совершенству духа; аскетизм
Фильм Соловьёва; асса
Фольклор: “Минздрав предупреждает: Всё, у чего есть колёса или грудь, рано или поздно приводит к ...”?; неприятностям
Часть водоёма, более или менее защищённая от открытой воды вогнутостью берега, мысами или островами?; бухта
Четвёртая планета; Марс
Чистый объектно-ориентированный (другими словами, object-based) язык программирования, котором буквально всё является объектом? (ответ англ. буквами); smalltalk
Что изобрёл барон Драйз, бросив увлечение костотрясом?; дрезину
Что мы получим если смешаем мелко толчёный тальк, каолин, кукурузный крахмал, красители и благовонные вещества? (ответ в им. п.); пудра
Что мы получим, если хорошенько смешаем и взобьём яичный желток, растительное масло, уксус, горчицу, сахар и др. пряности?; майонез
Что объединяет актёров – Лаврова, Штрауха, Каюрова, Губенко, Щукина, Плотникова, Янковского, Мягкова, Смирнова, Калягина?; роль Ленина
Что обычно употребляли в советских барах и магазинчиках, которые на молодёжном жаргоне 60-х годов назывались США?; советское шампанское
Чутьё, проницательность; способность найти и принять решение без рассуждений?; интуиция
