Выращивание растений в темноте; этиолирование
Углепогрузочная машина; углепогрузчик
Высказывание или письменное заявление, удостоверяющее свидетельство, доказательство; удостоверение
Официальный документ, удостоверяющий личность полномочия, права и т. п.; удостоверение
Поведение, деятельность узурпатора; узурпация; узурпаторство
Логический процесс выведения заключения из двух суждений; силлогизм; умозаключение
Вывод, основанный на рассуждении, размышлении; умозаключение
Направленность ума, совокупность интересов в какой-либо области интеллектуальной деятельности; умонастроение
Поверхностный, упрощенный подход к решению сложных вопросов; упрощенчество
Совокупность наук о праве; правоведение; юриспруденция
Практическая деятельность юристов; юриспруденция
Заготовка яиц (обычно куриных); яйцезаготовка
Направление в изобразительном искусстве XX в., представители которого заменяют конкретную форму изображаемого сочетаниями линий, фигур, цветовых пятен; абстракционизм
Авиалиния, играющая важную роль в осуществлении воздушных транспортных перевозок; авиамагистраль
Отражение в литературном произведении событий из жизни автора, близости в отношении автору героя произведения; автобиографизм
Автоматическое устройство, обеспечивающее предотвращение аварий при работе машин, аппаратов, приборов; автоблокировка
Автоматическая система регулирования движения поездов по сигналам светофоров; автоблокировка
Литография, выполненная на камне непосредственно самим художником; автолитография
Трасса для скоростного движения автомобилей; автомагистраль
Специальный автомобиль для перевозки цемента; автоцементовоз
Специалист в области агромелиорации; агромелиоратор
Система мелиоративных мероприятий, направленных на улучшение почвенных, гидрологических и климатических условий в целях успешного развития сельского хозяйства; агромелиорация
Центральный орган управления военно-морскими силами (в Российском государстве до 1917 г.); адмиралтейство
Птичник для выращивания молодняка кур, индеек, уток и гусей в условиях, близких к условиям содержания взрослой птицы; акклиматизатор
Приспособление растительных и животных организмов и человека к новым или изменившимся географическим – преимущественно климатическим – условиям существования; акклиматизация
Совокупность научных дисциплин, изучающих языки, культуру и историю народов Соединенных Штатов Америки; американистика
Раздел медицины, изучающий проблемы и методы обезболивания и управления жизненно важными функциями организма во время проведения хирургических операций, а также до и после них; анестезиология
Политика и идеология, направленные против милитаризма, гонки вооружений, за устранение угрозы войны; антимилитаризм
Химический препарат, природное вещество, предотвращающее или замедляющее окисление; антиокислитель
Перенесение присущих человеку психических свойств на явления природы, животных, предметы, мифические существа; антропоморфизм
Уплотнение и утолщение стенок артерий, наблюдающиеся при старении, инфекционно-аллергических заболеваниях и т. п.; артериосклероз
Научная дисциплина, изучающая природные условия различных космических тел Вселенной; астрогеография
Совокупность методов практической астрономии, позволяющих определять координаты и курс летательного аппарата или судна по небесным светилам; астронавигация
Снимок, сделанный методом аэрофотосъемки; аэрофотоснимок
Фотографирование местности с самолета, вертолета, ракеты, искусственного спутника Земли и т. п.; аэрофотосъемка
Лечение природными или искусственно приготовленными минеральными водами и лечебными грязями; бальнеотерапия
Бездомная, бесприютная жизнь; бездомничество
Бензовоз, предназначенный для заправки самолетов, автомобилей и т. п. жидким топливом; бензозаправщик
Специальное сооружение или особое помещение для хранения бензина; бензохранилище
Непринадлежность ни к какой политической партии; беспартийность
Многочисленная группа животных, не имеющих позвоночника, к которой относятся простейшие, губки, кишечнополостные, моллюски и т. п.; беспозвоночные
Способ изготовления стали из жидкого чугуна путем продувки его воздухом в специальном устройстве – конвертере (применявшийся до второй половины XX в.); бессемерование
Отсутствие деления общества на сословия; бессословность
Самоходная машина для укладки бетонной смеси при строительстве автомобильных дорог, взлетных полос аэродромов и т. п.; бетоноукладчик
Любовь к книгам, собирание редких и ценных книг; библиофильство
Способность воспринимать окружающее с помощью двух глаз; бинокулярность
Отрасль архитектуры, в которой при проектировании и сооружении зданий используются элементы конструкций, существующих в природе; биоархитектура
Научное направление, изучающее общие закономерности управления и передачи информации в живых организмах; биокибернетика
Обеспеченность необходимыми материальными и духовными благами; благосостояние
