Coвeтcкaя пoэтecca; Тушнова
Французский художник-импрессионист, картины "Завтрак на траве","Олимпия"; Мане
Основатель музея изящных искусств в Москве.; Цветаев
Имя Малевича, основателя движения суперматизм в живописи в начале 20 в.; Казимир
Русский художник 19-20 вв; Архипов
С какого года начинается музейная история Лувра?; 1793 года (27 июля)
Сколько животных изображено на картине Карла Брюллова "Всадница"?; Три (Лошадь и две собаки.)
В какой стране появился балет в сегодняшнем его виде?; В Италии
каком городе открылся первый оперный театр для публичных выступлений?; Венеция
Под каким псевдонимом работал Мишель Дюшан?; "Роз - Селяви"
Кто родоначальник эффеской школы живописи?; Зевксис (V - IV в. до н.э.)
Какой художник был подвергнут критике французского высшего общества за скандальный "Портрет мадам Икс"?; Джон Сингер Сарджент
Чем занимаются представители нового вида искусства - мобилографии?; фотографируют телефонами
На фоне чего изображена Мона Лиза на картине Леонардо да Винчи?; Горного пейзажа.
Королевский балет какой страны стал известен благодаря 40-летнему руководству Августа Бурнонвиля?; Дания
Кого или что изобразил на картине «Владимирка» художник Левитан?; дорогу
В каком музее мира находится картина Винсента Ван Гога "Красные виноградники в Арле"?; Гос. Музей изобразительных искусств им. А.С.Пушкина, Москва.
Что такое вернисаж?; открытие выставки
В какой области России находится село Федоскино, знаменитое своим художественным промыслом; В Московской
Какой народ придумал парный танец оберек?; Поляки
В какой стране родился танец ФЛАМЕНКО?; Испания
Кто из этих живописцев вписал медведей в знаменитую картину Шишкина "Утро в сосновом лесу"?; Константин Савицкий
Музеи  в Вашингтоне?; Американский музей радиовещания, Музей искусств, Музей естествознания и культуры, Центр деревянных судов, Центр современного искусства, Consolidated Works, ence Music Project, Frye Art Museum, Галерея искусств Генри, Галерея Джека Стро, Музей авиации, Муз
Кто из этих художников был пуантилистом?; Ж. Сёра
При изготовлении каких красок применялся яичный желток?; темперных
Сколько человек изображено на картине Леонардо да Винчи "Тайная вечеря"?; 13
Какой персонаж не присутствует на картине Ильи Глазунова «Великий эксперимент»?; Борис Ельцин
На какой картине изображено последствие большого наводнения в Санкт-Петербурге?; «Княжна Тараканова» Флавицкого
По чьему замыслу, согласно афоризму Марка Твена, Бог создал Италию?; Микеланджело
Какое произведение искусства было украдено из музея Осло за день до начала зимних Олимпийских игр 1994 года?; картину «Крик» Эдварда Мунка.
Кто написал картину "Сад земных наслаждений"?; Иероним Босх
Чем и на что опирается знаменитый "Мыслитель" французского скульптора Огюсто Родена?; правой рукой на левое колено
Какая из этих картин Леонардо да Винчи находится в Эрмитаже?; "Мадонна с цветком"
Какой художник переселился на остров Таити и Остался в Океании до конца жизни?; Поль Гоген
Какой театр организовали Станиславский и Немирович-Данченко?; Художественный
Кто из этих художников написал картину «Возвращение блудного сына»?; Рембрандт
Чьё имя носит детский театр, над зданием которого парит синяя птица?; Наталии Сац
Какой художник совместно с Феофаном Греком и Прохором с Городца расписывал Благовещенский собор Московского Кремля?; Андрей Рублёв
Какой известный художник написал автопортрет на фоне Московского кремля?; Василий Тропинин
Кто из великих актёров МХТ с 1937 г. стал руководителем единственного в стране московского цыганского театра «Ромэн»?; Михаил Яншин
Что изображено на картине Клода Моне «Впечатление», положившей начало импрессионизму?; восход солнца
Кто написал "Лестерский кодекс" который в 1994 году купил Бил Гейтс за более чем 30 миллионов долларов?; Леонардо Да Винчи
Кто входил в гуппу поэтов - акмеистов?; Ахматова, Гумелев, Городецкий, Мандельштам и др.
Как звали фею в балете Чайковского «Щелкунчик»?; Драже
Какая краска в полиграфии называется маджента?; Пурпурная
Назовите имя сюрреалиста Магритт; Рене
Кто автор керамического панно «Принцесса Грёза», украшающего фасад московской гостиницы «Метрополь»?; Михаил Врубель
Какая пьеса Пушкина была поставлена на сцене при жизни поэта?; "Моцарт и Сальери", зимой 1832 г.
Что такое акватинта?; Метод гравирования
В каком итальянском городе установлены такие же конные скульптуры, как и на Аничковом мосту в Санкт-Петербурге?; Неаполь
Каким спектаклем открылся в октябре 1898 г., созданный К. С. Станиславским и В. И. Немировичем-Данченко Московский Художественный Театр?; Царь Федор Иоаннович
