Чем в общем виде является Зодиакальный круг? (системой ... ); отсчета
Выберите лишнюю по смыслу планету, если иметь ввиду знак обители из перечисленных: Марс, Венера, Меркурий?; Марс
Через какой знак Зодиака, принадлежащий стихии воды, проходит ось антисов: Рак, Водолей, Скорпион, Рыбы?; Рак
Где Солнце имеет наибольшее достоинство в знаке, кроме Льва?; Овен
Какой из знаков не принадлежит к группе по смыслу: Лев, Скорпион, Рак, Водолей?; Рак
Как называется восходящий знак при рождении?; асцендент
Когда говорят "родился под знаком Скорпиона" имеют ввиду его. Кого?; асцендент
К какому кресту принадлежит большинство мутабельных знаков Зодиака?; мутабельному
Экзальтация планеты в знаке относится к падению так же, как изгнание к ...?; обители
Назовите планету, которая в обители в знаках мутабельного креста разных стихий?; Меркурий
Как называется процесс уточнения времени рождения по событиям прошлого?; Ректификация
Если антис Плутона в знаке Льва, то фактически Плутон в каком знаке?; Лев
Моей подруге не повезло, родилась перед новым годом, а я летом, когда до того, как Солнце перейдет в обитель Меркурия оставалось не больше месяца. Я всегда знал кто я по знаку Зодиака, но именно сегодня (27 июля) моя подруга решительно захотела увидеть св; она
