Порождение ада; Исчадие
Лечебная мазь; Бальзам
Юбочка выше колен; Мини
Нечто крайне смешное; Умора
Сельский механизатор; Комбайнер
Полосатая лошадка.; Зебра
Подземка; Метрополитен
"Дружные грибы"; Опята
Ворота ГЭС; Шлюз
Юные селезни; Утята
Мускусная крыса; Ондатра
Рождается в споре; Истина
Закваска для теста; Опара
Ванилин; Ароматизатор
Слуга при своре; Псарь
Мясное блюдо; Рагу
Житель Израиля; Еврей
Широкая улица; Авеню
Внутреннее чутье; Интуиция
Сахарные губы; Уста
Им Россию не измерить; Аршин
Команда Ясона; Аргонавты
Уронила в речку мячик; Таня
Замужняя немка; Фрау
Вещдок; Улика
Волчий коллектив; Стая
Столица Казахстана; Астана
Самая яркая звезда; Сириус
Деление компаса; Румб
Месяц уразы; Рамазан
Планета в кольцах; Сатурн
Делается на ксероксе; Копия
Имущество под ссуду; Залог
Бикфордов шнур; Запал
Змея факира; Кобра
Родной город Чехова; Таганрог
Муж Геры; Зевс
Внешнее чувство; Вкус
Винт-свморез; Шуруп
Топорик индейца; Томагавк
Лирическая мелодия; Напев
Маковая ...; Росинка
Не спит, когда тихо в лесу; Барсук
Уменьшение по ширине; Сужение
Зрачок по-старинке; Зеница
Место в амбаре для зерна; Сусек
Приманка для аргонавтов; Руно
Притча про слона и моську; Басня
Один из друзей Винни-Пуха; Ослик
Тройная "шуба" фигуриста; Тулуп
Игра с овальным мячом; Регби
Ядовитая муха; Цеце
Гоночный катер; Скутер
Текстильный трос; Канат
Бывает не впрок; Урок
Ссуда на квартиру; Ипотека
"Последний из могикан" (автор); Купер
Водолюбивое растение; Осока
Бревно для избы; Брус
Ящик-зернохранитель; Ларь
"Торпеда" с бахчи; Дыня
За него в СССР бились каждый год; Урожай
Безбилетный грызун; Заяц
Порча на железе; Ржа
Русский сосуд для кваса; Жбан
"Арка" во рту; Небо
"Оппонент комика"; Трагик
Снегоступ биатлониста; Лыжа
Греческая русалка; Наяда
Липкий сок ели; Смола
Шеф; Босс
Луковица церкви; Купол
Дом машины; Гараж
Долгополая шуба; Тулуп
Курево; Табак
Михаил Жванецкий; Сатирик
Сын папы Карло; Буратино
Митинг; Пикет
Зеркальная рыба; Карп
Ювелирная мера массы; Карат
Отличие; Разница
Главны труд Карла Маркса; Капитал
Минеральная вода; Боржоми
Театр на ярмарке; Балаган
Капитан Арго; Ясон
Перевод денег; Трансферт
Хвойный лес; Ельник
Стоит свеч; Игра
Дисплей; Экран
Наркотик; ЛСД
Пробоина в судне; Течь
Судно на переправе; Паром
Подсадная птица; Утка
Желоб; Водосток
Прозвище Габриэль Шанель; Коко
Дерево в пустыне; Саксаул
Голоспевицы; Сопрано
Сантехник Борщов; Афоня
Подвижная часть мотора; Ротор
Объем помещения; Кубатура
Религия для народа; Опиум
Копоть на фитиле; Нагар
Печка в поезде; Титан
Гусиная болтовня; Гогот
Единица мощности; Ватт
Туес; Короб
Крестильная река Иесуса; Иордан
Веер, насаженный на древко; Опахало
Провал с треском; Крах
Соль в аккорде; Нота
Мудрый старец из аула; Аксакал
Опера Верди про даму с камелиями; Травиата
Насилие над непокорным; Расправа
Явление барсиков в мир; Окот
Кровавый враг скота, витающий над стадом; Овод
Курорт под Ялтой; Алупка
Дворянский или чемпионский; Титул
Драть ее – значит кричать; глотка
Отец Ореста (миф.). (букв: 9); Агамемнон
Ботанический сад, дендрарий. (букв: 9); арборетум
Тип соцветия, цветка. (букв: 7); метелка
Эст. художник (4 букв); Окас
Персонаж франц. театра кукол; гиньоль
Город-порт-курорт в Бельгии; остенде
Коробка с магнитной лентой; кассета
Итал. архитектор 16-17 вв.; мадерна
Город на северо-западе США1; сиэтл
Графство в Англии9; уорикшир
Основатель частной оперы в Москве; мамонтов
Антипод аскета; сибарит
Шалопай, вздорный болтун?; баламут
Загадка?; шарада
Паясничание; кривляние
Coв. cпopтcмeн-бopeц (7 букв); Давидян
Калийная соль; Сильвин
Большой, плоcкий кyсок кaмня или метaлла (5 букв); плита
Синоним упование; надежда
Река в Италии [4 буквы]; Тибр
Советский писатель 3; Лиханов
Синоним вращения; Ротация
Марка фотоаппарата? [8 букв]; практика
