Лингвистическое серебро?; слово
Линии жизни на лице?; морщины
Линия кажущегося соприкосновения неба с земной или водной поверхностью?; горизонт
Линия, перпендикулярная вертикали?; горизонталь
Линия, соединяющая противоположные или несмежные углы многоугольника?; диагональ
Линия, которая в каждой своей точке касается линии некоторого семейства?; огибающая
Линь, монастырь?; Шао
Лирическое стихотворение, проникнутое грустным настроением?; элегия
Лиственное дерево, которым по документам вполне может “стать” хвойное?; липа
Лиственное дерево?; клен
Лит. жанр; рассказ А. Чехова?; драма
Литературная профессия?; сценарист
Литовские песни?; сутартине
Лицо “монеты”?; аверс
Лицо среднего медицинского персонала?; сестра
Лицо (организация), имеющее право на пользование чем-либо?; абонент
Лицо, которому следует передавать краденую невесту?; кунак
Лицо, наблюдающее за какой-либо работой, ходом дел?; куратор
Лицо, совеpшающее pаспpаву по заданию воpов?; гладиатор
Лично зависимый от сеньора?; вассал
Ловкая проделка, неожиданная выходка?; фортель
Ловкий трюк иллюзиониста?; фокус
Ловкий трюк?; фокус
Ловушка с железной хваткой?; капкан
Логорея – это словесный ... ?; понос
Лодка запорожских казаков?; чайка
Лодка Тура Хейердала?; Ра
Локальная комп. сеть?; интранет
Локоть; место сгиба руки; часть рукава одежды?; локоток
Локтевой сустав как разновидность механического соединения?; шарнир
Лоренс Дау говорил: “В юбке нет ничего особенного, когда она колышется на ...”?; веревке
Лососевидная рыба?; хариус
Лохматый слон, вымерший с наступлением ледников?; мамонт
Лошадь Александра Македонского звали: а) Децибел б) Буцефал в) Цеденбал г) Задолбал?; б
Лошадь, в старину выставляемая на пути следования для замены уставшей, называлась?; подстава
Лошадям одеваются ... , чтобы они видели только дорогу?; шоры
Лук с удлиненной луковицей и плоскими листьями?; порей
Лук-“сорокозубка”?; шалот
Лучше ... раз по разу, чем ни разу ... раз. Какое число вставим?; сорок
Лучше молчать и слыть идиотом, чем заговорить и развеять все ...?; сомнения
Лучше стихи, но бывает и это?; проза
Лучшее средство от перхоти?; гильотина
Лучший исполнитель роли Гамлета в СССР?; Смоктуновский
Лыковые сплетни?; лапти
Любимая мужчинами деталь лифчика?; бретелька
Любимая пушкинским Балдой полба – это вид чего?; пшеницы
Любимая улица Булата Окуджавы?; Арбат
Любимая песня Б. Брыльски, Л. Ахеджаковой и В. Талызиной в известном фильме Э. Рязанова?; вагончики
Любимая птица Максима Горького, которая “реет над седой равниной моря”?; буревестник
Любимое вино Григория Распутина?; мадера
Любимое дитя?; чадо
Любимую лошадь Петра I звали ... ?; Лизетта
Любимый бабушкин шкаф?; комод
Любимый жанр В. Маяковского?; агитка
Любимый клич советских пионеров “Бери ложку, бери бак!” исполнялся на ... ?; горне
Любимый клоун Аллы Пугачевой?; арлекин
Любимый напиток ирландцев по мнению Генрих Беля?; чай
Любитель и ценитель пищи?; гурман
Любитель поспать (зверск.)?; сурок
Любитель изучения подземных ходов?; диггер
Любительница засосов, но не любовница, желающая насолить?; трясина
Люблю отчизну я, но странною любовью! – стихотворение М. Ю. Лермонтова?; родина
