Водопад в Южной Африке; Тугела
Водопад на р. Конго; Бойома
Водопад на р. Меконг (Индокитай); Кон
Водопад на р. Оранжевая; Ауграбис
Водопад на реке Конго; Бойома
Водопад на реке Меконг на границе Лаоса и Кампучии; Икота
Водопад на реке Меконг; Кон
Водопад на реке Суна в России; Кивач
Водопад с несколькими уступами; каскад
Водопад с уступами; каскад
Водопад, низвергающийся несколькими уступами; каскад
Водопад, скачущий по лесенке; каскад
Водопады на р. Конго; Бойома
Водопл. птица; приток реки Бия; созвездие; лебедь
Водопл. птица; лебедь
Водоплавающая комната?; каюта
Водоплавающая птица с широким клювом; утка
Водоплавающее, в которое нередко “превращается” забитый козел; рыба
Водоплавающий аккумулятор электричества; скат
Водоплавающий кинжал?; кортик
Водоплавающий подвал; трюм
Водоплавающий прапорщик; мичман
Водоплавающий суворовец?; нахимовец
Водоплавающая птица?; нырок
Водоросли на поверхности воды; тина
Водоросли, применяемые в кондитерской промышленности; агар
Водоросли, плавающие густой массой в стоячей воде; тина
Водоскат в Финляндии; Иматра
Воды, водные глубины (устар.); хлябь
Водяная блоха, аквариумный корм; дафния
Водяная краска; гуашь
Водяная мельница простейшего типа; вешняк
Водяная нимфа; наяда
Водяное растение; лотос
Водяное травянистое растение, образующее сплошной слой на поверхности стоячей воды; ряска
Водяной ... – мелкий рачок пресных водоемов, служащий кормом для рыб; ослик
Водяной вал, образуемый колебанием водной поверхности; волна
Водяной воробей; оляпка
Водяной дух в германской мифологии; никс
Водяной орех, рогульник; чилим
Водяные духи в древнегерманской мифологии; никсы
Воевода Святополка II; Путята
Воевода, командир знаменитого засадного полка, внезапный удар которого по врагу решил исход Куликовской битвы; Боброк
Воен. сигнал; заря
Воен.-политич. блок 1951 г.; анзюс
Военачальник в Египте при мамлюках; атабек
Военачальник в ряде стран мусульманского Востока; эмир
Военачальник на Ближнем Востоке; сердар
Военачальник, генерал армии (1955), дважды Герой Советского Союза (1943, 1945); Батов
Военачальник, генерал-полковник танковых войск (1963), дважды Герой Сов. Союза (1940, за отличие при прорыве укрепленной полосы в сов.-фин. войну, и 1944, за форсирование р. Висла); Архипов
Военачальник, маршал авиации (1972). Герой Советского Союза (1944); Борзов
Военачальник, маршал авиации (1973), Герой Советского Союза (1943); Зимин
Военачальник, маршал авиации (1975), Герой Советского Союза (1978); Пстыго
Военизированная организация в Финляндии (1917–44); шюцкор
Военн. министр Японии, 15.08.1945 совершил харакири; Анами
Военная демократия из старых времен?; вождество
Военная или гражданская форменная одежда; мундир
Военная куртка; китель
Военная неволя; плен
Военная операция: охват противника с двух сторон; клещи
Военная операция: удар на узком участке, раскалывающий фронт противника; клин
Военная организация у народов Южной Ганы; асафо
Военная показуха у города Вертю, за которую Барклай де Толли в 1815 году получил княжеский титул; смотр
Военная профессия (устар.); конник
Военная профессия в старину; рекрут
Военная профессия; авиадесантник
Военная разведка и контрразведка гитлеровской Германии?; абвер
Военная реакционная террористическая группировка, захватившая власть и установившая террористическую диктатуру; хунта
Военная специальность Антуана де Сент-Экзюпери; летчик
Военная специальность, требующая большой осторожности; сапер
Военная техника для переправки через водные преграды; понтон
Военно-административная организация у тюркских кочевых народов в средние века; орда
Военно-индейская дорога; тропа
Военно-морск. теоретик, историк, участник рус.-яп. войны; Жерве
Военно-морская база на Балтике; Лиепая
Военно-полевой плащ В. И. Чапаева; бурка
Военно-политическая организация западно-европейских государств; нато
Военно-религиозная организация рыцарей в ср. века; орден
Военное гребное судно, применяемое до 18 в.?; галера
Военное гребное судно; триера
Военное закрытое среднее учебное заведение; корпус
Военное название большой массы людей; армия
Военное ожидание; осада
Военное построение; каре
Военное приветствие или отдание почестей выстрелами; салют
Военное ружье, упомянутое в “Рубке леса” Л. Толстого; штуцер
