Негодная вещь, вещи; шваль
Негодные старые вещи, которым пора на мусорку; хлам
Негодный, ничтожный человек; шваль
Негр (устаревшее); арап
Негр в Америке 19 века; раб
Негритянский квартал в Нью-Йорке; гарлем
Негритянское племя, живущее в верховьях Белого Нила; бонго
Негроиды, раса, расовый тип (ответ во мн. ч.); негры
Недавно в Восточной Европе резко повысился спрос на один из видов птичьего корма. Связано это, разумеется, не с традиционным его использованием. Что это за корм?; конопляное семя
Недавно в США был издан новый каталог жантиле. Назовите жантиле, например, жителя Одессы; одессит
Недавно на аукционе “Кристи” был продан кусок свадебного пирога, возраст которого 140 лет. Пирог этот ела особа, с чьим именем связана целая эпоха. О ком идет речь?; виктория
Недалекий представитель “царя небесного”; олух
Недеформир. сплавы железо-никель-алюминий для магнитов; ални
Недобор числа взяток в карточной игре; ремиз
Недоброкачественный, мутный, невкусный напиток или жидкое кушанье; бурда
Недобросовестный работник, портач; бокарь
Недобрый юмор телепередач с Виктором Шендеровичем; сатира
Недовес, недочет; манко
Недовольство, выражаемое в приглушенной форме, негромкими голосами; ропот
Недоделанная резина; каучук
Недоделка, плохая работа, погрешность; огрех
Недозрелая туча; облако
Недостатки отдельных участков древесины, ухудшающие ее свойства; пороки
Недостаток в необходимом, бедность; нужда
Недостаток в необходимых средствах; нужда
Недостаток времени на обдумывание ходов в шахматной партии?; цейтнот
Недостаток осадков; засуха
Недостаток преломляющего аппарата глаза?; астигматизм
Недостаток ума, прикрытый достатком в доме?; мещанство
Недостаток, отрицательная сторона; минус
Недостаточная строгость; снисходительность
Недостаточно объезженный скакун, который готов приняться за свои фокусы; нрав
Недостоверный рассказ, выдумка; миф
Недосчет в кассе; манко
Недружелюбная “гримаса” собаки или волка; оскал
Недуг, от которого народная медицина советует избавляться настоем чистотела; экзема
Недуг, от которого человечество избавила корова?; оспа
Недуг, чье течение приостанавливает красный цвет; астма
Неестественная приподнятость и возбужденность в речи; аффектация
Неестественное телодвижение, гримаса; ужимка
Неестественность, чрезмерное возбуждение, театральность в поведении и речи; аффектация
Нежелание трудиться, мать пороков; лень
Нежилая комната в квартире; ванная
Нежилая часть дома; сени
Нежилая часть крестьянского дома; сени
Нежилое сооружение?; сарай
Нежить, живущая в чащобе; лешак
Нежная диетическая приправа французской кухни; берси
Нежная прослойка торта “птичье молоко”; суфле
Нежность с рукоприкладством?; ласка
Независимая от взрослых газета подростков; глагол
Независимая православная церковь; автокефалия
Независимая проверка финансово-хозяйственной деятельности; аудит
Независимая ревизия; аудит
Независимая экспертиза финансовой отчетности предприятий; аудит
Независимая, самоуправляющаяся православная церковь; автокефальная
Независимость одной матем. величины от другой; непропорциональность
Незаконное вознаграждение; взятка
